2020-05-15 10:20:29.388 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2020-05-15 10:20:29.403 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:20:29.404 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2020-05-15 10:20:29.404 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2020-05-15 10:20:29.910 [main] INFO  c.c.c.CloudMessagemachineApplicationTests - Started CloudMessagemachineApplicationTests in 5.709 seconds (JVM running for 7.593)
2020-05-15 10:20:29.915 [main] INFO  com.alibaba.nacos.client.config.impl.ClientWorker - [fixed-localhost_8848] [subscribe] null.properties+DEFAULT_GROUP
2020-05-15 10:20:29.917 [main] INFO  com.alibaba.nacos.client.config.impl.CacheData - [fixed-localhost_8848] [add-listener] ok, tenant=, dataId=null.properties, group=DEFAULT_GROUP, cnt=1
2020-05-15 10:20:30.353 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-05-15 10:20:30.355 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-05-15 10:20:30.646 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Shutting down ExecutorService 'taskScheduler'
